"id";"ilan_no";"brand";"model";"year";"loc1";"loc2";"loc3";"loc4";"loc5";"km";"date";"listing_price";"otoendeks_price";"arabam_price";"fuel_Type";"transmission";"body_type";"power";"displacement";"drivewheel";"hard_hit";"owner";"painted_parts";"changed_parts"
"2319";"1086884864";"Kia";"Rio 1.5 CRDi EX Comfort";"2008";"Türkiye";"Tokat";"Merkez";"Merkez";"0";"267141";"1679356800";"270000";"0";NULL;"Dizel";"Manuel";"Sedan";"110 hp";"1493 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2320";"1086906030";"Ford";"Focus 1.6 TDCi Trend X";"2014";"Türkiye";"Tokat";"Turhal";"Turhal";"0";"116000";"1679356800";"485000";"484110";NULL;"Dizel";"Manuel";"Sedan";"95 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2321";"1086841195";"Opel";"Corsa 1.3 CDTI  Active";"2014";"Türkiye";"Eskişehir";"Tepebaşı";"Cumhuriye";"0";"117000";"1679356800";"400000";"345369";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"95 hp";"1248 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2322";"1084761425";"Opel";"Astra 1.6 Edition";"2015";"Türkiye";"Diyarbakır";"Yenişehir";"Yenişehir";"0";"66790";"1679356800";"437500";"471950";NULL;"Benzin & LPG";"Manuel";"Sedan";"115 hp";"1598 cc";"Önden Çekiş";"Evet";"Sahibinden";;
"2323";"1086905486";"Lancia";"Lybra 1.9 JTD";"2001";"Türkiye";"İstanbul";"Tuzla";"Aydınlı";"0";"206000";"1679356800";"225000";"0";NULL;"Dizel";"Manuel";"Station Wagon";"101 - 125 HP";"1801 - 2000 cm3";"Önden Çekiş";"Hayır";"Sahibinden";;
"2324";"1086844735";"Toyota";"Corolla 1.4 D-4D Elegant";"2010";"Türkiye";"Artvin";"Arhavi";"Arhavi";"0";"203000";"1679356800";"460000";"333650";NULL;"Dizel";"Yarı Otomatik";"Sedan";"90 hp";"1364 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2325";"1086915247";"Hyundai";"i30 1.6 CRDi Elite";"2015";"Türkiye";"Hatay";"Arsuz";"Merkez";"0";"108500";"1679356800";"515000";"526088";NULL;"Dizel";"Otomatik";"Hatchback 5 kapı";"128 hp";"1582 cc";"Önden Çekiş";"Evet";"Sahibinden";;
"2326";"1086917927";"Fiat";"Albea 1.2 EL";"2004";"Türkiye";"İzmir";"Bornova";"Naldöken";"0";"192000";"1679356800";"220000";"206250";NULL;"Benzin & LPG";"Yarı Otomatik";"Sedan";"80 hp";"1242 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2327";"1086895367";"Peugeot";"207 1.4 HDi Trendy";"2007";"Türkiye";"Adana";"Çukurova";"Merkez";"0";"171000";"1679356800";"331000";"206430";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"70 hp";"1398 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2328";"1086916048";"Peugeot";"206 1.4 Comfort";"2010";"Türkiye";"İstanbul";"Ümraniye";"Çakmak";"0";"148800";"1679356800";"229000";"227657";NULL;"Benzin & LPG";"Manuel";"Sedan";"75 hp";"1360 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0612";"11"
"2329";"1086892741";"Volkswagen";"Passat 1.6 FSI Comfortline";"2007";"Türkiye";"Kırklareli";"Lüleburgaz";"Merkez";"0";"195000";"1679356800";"407500";"352550";NULL;"Benzin";"Manuel";"Sedan";"115 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2330";"1072566572";"Volkswagen";"Jetta 1.4 TSI BlueMotion Comfortline";"2016";"Türkiye";"Nevşehir";"Merkez";"Afet Evleri";"15";"45000";"1679356800";"750000";"0";NULL;"Benzin";"Yarı Otomatik";"Sedan";"125 hp";"1395 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2331";"1083534050";"Volkswagen";"Bora 1.6 Pacific";"2004";"Türkiye";"Ankara";"Keçiören";"Ufuktepe";"0";"209000";"1679356800";"309000";"262600";NULL;"Benzin & LPG";"Manuel";"Sedan";"105 hp";"1595 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2332";"1086898036";"BMW";"5 Serisi 520d M Sport";"2011";"Türkiye";"Ankara";"Çankaya";"Çayyolu/Ümitköy";"0";"275000";"1679356800";"935000";"931600";NULL;"Dizel";"Yarı Otomatik";"Sedan";"184 hp";"1995 cc";"Arkadan İtiş";"Hayır";"Sahibinden";;
